country,constituents,total_market_cap_usd_millions,index_weight_pct,as_of=March 31 2026
United States,2932,66742717.48,60.7,
Japan,1689,7588590.04,6.1,
China,3600,17365033.6,3.4,
United Kingdom,335,3885052.44,3.3,
Canada,373,3808800.1,3.2,
Taiwan,980,3415988.74,2.7,
France,162,3177687.49,2.1,
Switzerland,138,2403095.79,2,
South Korea,785,2936606.85,1.9,
Germany,179,2607207.25,1.9,
India,1088,4165544.43,1.7,
Australia,333,1887331.29,1.7,
Netherlands,61,1211889.96,1,
Sweden,229,1198620.85,0.9,
Spain,67,1197848.03,0.8,
Italy,123,1198477.77,0.8,
Brazil,163,1053287.82,0.6,
"Hong Kong SAR, China",136,921601.02,0.5,
Singapore,95,670043.59,0.4,
Denmark,52,522771.94,0.4,
Israel,165,560662.65,0.4,
South Africa,92,458810.08,0.4,
Saudi Arabia,219,2610654.23,0.4,
Finland,39,354519.17,0.3,
Belgium,48,454285.48,0.3,
Norway,91,489898.44,0.3,
Mexico,51,508458.42,0.2,
Malaysia,181,437644.58,0.2,
Thailand,153,499692.56,0.2,
United Arab Emirates,80,669247.28,0.2,
Indonesia,142,518216.83,0.2,
Poland,67,267570.26,0.1,
Turkey,203,342037.95,0.1,
Ireland,20,127034.71,0.1,
Austria,28,187195.33,0.1,
Kuwait,48,142694.62,0.1,
Greece,51,140346,0.1,
Qatar,36,157051.62,0.1,
Chile,32,176332.55,0.1,
New Zealand,22,76953.53,0.1,
Portugal,14,104319.41,0.1,
Philippines,46,137751.03,0,
Peru,5,190012.66,0,
Hungary,7,55225.53,0,
Colombia,13,86651.09,0,
Luxembourg,4,48837.77,0,
Czech Republic,7,75752.82,0,
Egypt,26,30920.19,0,
